name,description
臺北醫學大學,台北醫學大學(吳興街220巷59弄)(鄰近台北醫學大學)
信義基隆路口,信義路四段401號(前方)(鄰近台北國際會議中心)
三張犁,光復南路/基隆路一段364巷(鄰近大安親子館)
世貿三館,市府路/松壽路(東南側) (鄰近台北101/台北世界貿易中心/台北探索館)
臺北南山廣場,松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城)
中崙高中,八德路四段91巷(中崙高中)旁(鄰近京華城/中保寶貝城(BabyBoss City))
象山公園,松仁路153巷17號對面(鄰近象山步道)
五常公園,松隆路/虎林街30巷口(西南側)
信義廣場(台北101),松智路/信義路(東北側) (鄰近台北101)
凌雲市場,研究院路三段68巷/凌雲街(東北側)
南港國小,惠民街/興東街(南側停車場)
台北市政府,台北市政府東門(松智路) (鄰近信義商圈/台北探索館)
台北市災害應變中心,台北市信義區莊敬路391巷11弄2號
市民廣場,市府路/松壽路(西北側)(鄰近台北101/台北世界貿易中心/台北探索館)
捷運公館站(2號出口),羅斯福路四段/舟山路(東北側)(鄰近公館夜市)
捷運南港軟體園區站(2號出口),捷運南港軟體園區站2號出口外
捷運後山埤站(1號出口),中坡北路/忠孝東路五段(西北側)
捷運行天宮站(1號出口),捷運行天宮1號出口後方(松江路側)
捷運行天宮站(3號出口),捷運行天宮站3號出口站外
松山家商,林口街/福德街(東南側)
松山車站,松山車站西出口外自行車格內(鄰近饒河街夜市/五分埔)
松德站,台北市信義區松德路300號
榮星花園,五常街/龍江路口(西南側)(鄰近榮星公園(原榮星花園))
民權運動公園,民權東路四段/新中街交叉口
民生光復路口,光復北路/民生東路(西北側)
永吉松信路口,松信路/永吉路南西側人行道
玉成公園,玉成街247號前
臺北市藝文推廣處,北寧路34號 對側(鄰近台北田徑場)
福德公園,大道路/福德街路口北西側
興雅國中,松仁路/松仁路95巷(東南側)(鄰近信義商圈/台北信義威秀影城)
金山愛國路口,愛國東路/金山南路(西南側)
饒河夜市(八德路側),八德路/松信路(西南側)
仁愛醫院,大安路一段/仁愛路四段
三民公園,撫遠街/富錦街(東南側)
仁愛逸仙路口,仁愛路四段/逸仙路(西北側)(鄰近國父紀念館/台北探索館)
信義敦化路口,信義路四段/敦化南路一段(東北側)
信義連雲街口,信義路二段/連雲街(東北側)
吳興公車總站,松仁路/吳興街交叉口
國家圖書館,中山南路/貴陽街口(西南側)(鄰近台北賓館)
國興青年路口,國興路/青年路(西南側)(鄰近萬華親子館)
大業大同街口,大業路/大同街口
峨嵋停車場,昆明街/西寧南路50巷(東南側)(鄰近西門町/台北市電影主題公園/西門紅樓)
市立美術館,中山北路三段/酒泉街(西南側)(鄰近台北市立美術館/花博公園美術園區/台北故事館/花博公園圓山園區/花博圓山公園區-爭艷館/中山親子館)
捷運信義安和站(4號出口),通化街/信義路四段(西南側)(鄰近臨江街夜市(通化夜市)/大安親子館)
捷運圓山站(2號出口),承德路三段/庫倫街(東南側)(鄰近台北孔廟/花博公園圓山園區/花博圓山公園區-爭艷館/中山親子館)
捷運民權西路站(3號出口),民權西路70巷37號對面
捷運龍山寺站(1號出口),和平西路三段/和平西路三段109巷(西北側)(鄰近艋舺龍山寺/艋舺夜市(萬華夜市))
新生長安路口,新生北路一段/長安東路二段交叉口(北側)
新生長春路口,新生北路二段/新生北路二段68巷交叉口(新生橋下)
東園國小,東園街/萬大路344巷(東南側)
林森公園,林森北路/南京東路一段(鄰近林森公園/康樂公園)
民權復興路口,復興北路/民權東路三段(東北側)
羅斯福景隆街口,羅斯福路六段/景隆街交叉口(東南側)
老松國小,康定路/桂林路(東南側)(鄰近艋舺龍山寺/艋舺清水巖祖師廟/台北市鄉土教育中心(剝皮寮歷史街區))
