name,name:nan,name:nan-HJ,name:nan-TL
萬盛溪,Bān-sēng-khoe,萬盛溪,Bān-sīng-khue
基隆河,Ke-lâng-hô,基隆河,Ke-lâng-hô
大漢溪,Tōa-hàn-khoe,大漢溪,Tuā-hàn-khe
新店溪,Sin-tiàm-khoe,新店溪,Sin-tiàm-khue
淡水河,Tām-chúi-hô,淡水河,Tām-tsuí-hô
三峽河,Sam-kiap-hô,三峽河,Sam-kiap-hô
南勢溪,Lâm-sè-khoe,南勢溪,Lâm-sè-khue
北勢溪,Pak-sì-khoe,北勢溪,Pak-sì-khue
𩻸魚堀溪,Tāi-hû-ku̍t-khere,𩻸魚堀溪,Tāi-hû-ku̍t-khere
景美溪,Kéng-bé-khoe,景尾溪,Kíng-bé-khue
蘭陽溪,Lân-iâng-khe,蘭陽溪,Lân-iâng-khe
鳳山溪,Hōng-soaⁿ-khe,,
磺溪,Hông-khe,,
頭前溪,Thâu-chêng-khoe,頭前溪,Thâu-tsîng-khue
烏溪,O͘-khe,烏溪,Oo-khe
大安溪,Tāi-an-khe,大安溪,Tāi-an-khe
大甲溪,Tāi-kah-khe,大甲溪,Tāi-kah-khe
鹿角坑溪,Lo̍k-kak-khiⁿ-khoe,鹿角坑溪,Lo̍k-kak-khinn-khue
中港溪,Tiong-káng-khe,中港溪,Tiong-káng-khe
後龍溪,Āu-lâng-khe,後龍溪,Āu-lâng-khe
急水溪,Kip-chúi-khe,急水溪,Kip-tsuí-khe
八掌溪,Pat-chiáng-khe,掌溪,Pat-tsiáng-khe
朴子溪,Phoh-chú-khe,朴子溪,Phoh-tsú-khe
北港溪,Pak-káng-khe,北港溪,Pak-káng-khe
濁水溪,Lô-chúi-khe,濁水溪,Lô-tsuí-khe
高屏溪,Ko-pîn-khe,高屏溪,Ko-pîn-khe
阿公店溪,A-kong-tiàm-khe,阿公店溪,A-kong-tiàm-khe
二仁溪,Jī-jîn-khe,二仁溪,Jī-jîn-khe
鹽水溪,Kiâm-chúi-khe,鹹水溪,Kiâm-tsuí-khe
曾文溪,Chang-bûn-khe,曾文溪,Tsang-bûn-khe
和平溪,Hô-pêng-khe,和平溪,Hô-pîng-khe
花蓮溪,Hoa-lian-khe,花蓮溪,Hua-lian-khe
秀姑巒溪,Siù-ko͘-loân-khe,秀姑巒溪,Siù-koo-luân-khe
卑南溪,Pi-lâm-khe,卑南溪,Pi-lâm-khe
四重溪,Sì-tiông-khe,四重溪,Sì-tiông-khe
東港溪,Tang-káng-khe,東港溪,Tang-káng-khe
員潭溪,Oân-thâm-khoe,員潭溪,Uân-thâm-khue
外雙溪,Gōa-siang-khe,,
小坑溪,Sió-khiⁿ-khe,,
新街溪,Sin-ke-khe,新街溪,Sin-ke-khe
南崁溪,Lâm-kham-khe,南崁溪,Lâm-kham-khe
愛河,Ài-hô,愛河,Ài-hô
典寶溪,Tián-pó-khe,典寶溪,Tián-pó-khe
宜蘭河,Gî-lân-hô,宜蘭河,Gî-lân-hô
後堀溪,Āu-khut-khe,後堀溪,Āu-khut-khe
美濃溪,Bí-long-khe,美濃溪,Bí-long-khe
濁口溪,Lô-kháu-khe,濁口溪,Lô-kháu-khe
武洛溪,Bú-lok-khe,武洛溪,Bú-lok-khe
旗山溪,Kî-san-khe,旗山溪,Kî-san-khe
隘寮溪,Ài-liâu-khe,隘寮溪,Ài-liâu-khe
港尾溝,Káng-bé-kau,,
官田溪,Koaⁿ-tiân-khe,官田溪,Kuann-tiān-khe
陳有蘭溪,Tân-iú-lân-khe,陳有蘭溪,Tân-iú-lân-khe
東埔蚋溪,Tong-po͘-la̍k-khe,東埔蚋溪,Tong-poo-la̍k-khe
清水溪,Chheng-chúi-khe,清水溪,Tshing-tsuí-khe
貓羅溪,Bâu-lô-khe,貓羅溪,Bâu-lô-khe
大里溪,Tāi-lí-khe,大里溪,Tāi-lí-khe
眉溪,Bâi-khe,眉溪,Bâi-khe
頭汴坑溪,Thâu-pān-kheⁿ-khe,頭汴坑溪,Thâu-pān-khenn-khe
景山溪,Kéng-soaⁿ-khe,,Kíng-suann-khe
上坪溪,Siōng-pêng-khoe,上坪溪,Siōng-pîng-khue
中港河,Tiong-káng-khe,,
富源溪,Hù-goân-khe,富源溪,Hù-goân-khe
紅葉溪,Âng-hio̍h-khe,紅葉溪,Âng-hio̍h-khe
羅東溪,Lô-tong-khe,,Lô-tong-khe
北港溪,Pak-káng-khe,北港溪,Pak-káng-khe
光復溪,Kong-ho̍k-khe,光復溪,Kong-ho̍k-khe
萬里溪,Bān-lí-khe,萬里溪,Bān-lí-khe
木瓜溪,Bo̍k-koe-khe,木瓜溪,Bo̍k-kue-khe
隘寮北溪,Ài-liâu-pak-khe,隘寮北溪,Ài-liâu-pak-khe
樂樂溪,Lo̍k-lo̍k-khe,樂樂溪,Lo̍k-lo̍k-khe
鹿寮溪,Lo̍k-liâu-khe,鹿寮溪,Lo̍k-liâu-khe
鹿野溪,Lo̍k-iá-khe,鹿野溪,Lo̍k-iá-khe
壽豐溪(知亞干溪),Siū-hong-khe,壽豐溪,Siū-hong-khe
菁礐溪,Chhiⁿ-ha̍k-khe,,
旱溪,Hān-khe,旱溪,Hān-khe
油羅溪,Iû-lô-khoe,油羅溪,Iû-lô-khue
湳仔溝,Làm-á-kau,,Làm-á-kau
員林坑,Oân-lîm-khiⁿ,員林坑,Uân-lîm-khinn
八仙圳,Pat-sian-chùn,,
北投溪,Pak-tâu-khe,,
磺港溪,Hông-káng-khe,,
馬太鞍溪,Má-tāi-an-khe,馬太鞍溪,Má-tāi-an-khe
小礁溪,Sió-ta-khe,小礁溪,Sió-ta-khe
大礁溪,Tōa-Ta-khe,大礁溪,Tuā-ta-khe
鹿鳴溪,Lo̍k-iá-khe,鹿野溪,Lo̍k-iá-khe
安順排水線,An-sūn Pâi-chúi-sòaⁿ,安順排水線,An-sūn Pâi-tsuí-suànn
山外溪,Soaⁿ-gōa-khoe,山外溪,Suann-guā-khue
內雙溪,Lāi-siang-khe,,
荖濃溪,Lāu-lông-khe,荖濃溪,Lāu-lông-khe
草人坑,Chháu-lâng-kheⁿ,草人坑,Tsháu-lâng-khenn
