name:nan-HJ	alt_name	name:nan-TL
臺電大樓		Tâi-tiān Tuā-lâu
新北投		Sin-pak-tâu
永寧		Íng-lîng
塗城		Thôo-siânn
西湖		Se-ôo
辛亥		Sin-hāi
萬芳病院		Bān-hong Pīnn-īnn
萬芳社區		Bān-hong Siā-khu
木柵		Ba̍k-sa
動物園		Tōng-bu̍t-hn̂g
麟光		Lîn-kong
興南	興南站	Hing-lâm
桃園體育園區	捷運桃園體育園區站	Thô-hn̂g Thé-io̍k Hn̂g-khu
領航	領航站	Líng-hâng
高鐵桃園站	捷運高鐵桃園站	Ko-thih Thô-hn̂g-tsām
橫山	捷運橫山站	Huâinn-suann
文心中清		Bûn-sim Tiong-tshing
恩主公廟/行天宮		Un-tsú-kong-biō /Hîng-thian-kiong
松江南京		Siông-kang Lâm-kiann
大直	實踐大學	Tuā-ti̍t
東門		Tang-mn̂g
南港展覽館		Lâm-káng Tián-lám-kuán
秀朗橋		Siù-lóng-kiô
中原		Tiong-guân
頭前庄		Thâu-tsîng-tsng
新北產業園區		Sin-pak Sán-gia̍p Hn̂g-khu
九德		Kiú-tik
幸福		Hīng-hok
新埔民生		Sin-poo Bîn-sing
枋橋		Pang-kiô
十四張	莊敬高職	Tsa̍p-sì-tiunn
景平		Kíng-pîng
枋新		Pang-sin
內湖		Lāi-ôo
台大病院	台大病院	Tâi-tāi Pīnn-īnn
北門		Pak-mn̂g
新店	碧潭	Sin-tiàm
象山		Tshiūnn-suann
臺北101/世貿		Tâi-pak It-khòng-it/ Sè-bōo
信義安和		Sìn-gī An-hô
大安		Tāi-an
大安森林公園		Tāi-an Sim-lîm Kong-hn̂g
中正紀念堂		Tiong-tsìng Kì-liām-tn̂g
臺北車站		Tâi-pak Tshia-tsām
中山		Tiong-san
雙連		Siang-liân
民權西路		Bîn-kuân-se-lōo
圓山仔		Înn-suann-á
劍潭		Kiàm-thâm
士林		Sū-lîm
芝山		Tsi-san
明德		Bîng-tik
石牌仔	榮總	Tsio̍h-pâi-á
唭哩岸		Ki-lí-gān
奇岩		Kî-giâm
北投		Pak-tâu
復興崗		Ho̍k-hing-kong
忠義		Tiong-gī
干豆		Kan-tāu
竹圍仔	竹圍仔	Tik-uî-á
紅樹林		Âng-tshiū-nâ
淡水		Tām-tsuí
六張犁		La̍k-tiunn-luê
科技大樓		Kho-ki Tuā-lâu
忠孝復興		Tiong-hàu Ho̍k-hing
南京復興		Lâm-kiann Ho̍k-hing
中山國中		Tiong-san Kok-tiong
松山機場		Siông-san Ki-tiûnn
劍南路	美麗華	Kiàm-lâm-lōo
港墘		Káng-kînn
文德	碧湖公園	Bûn-tik
大湖公園		Tuā-ôo Kong-hn̂g
葫洲		Oô-tsiu
東湖		Tang-ôo
南港軟體園區		Lâm-káng Nńg-thé Hn̂g-khu
南港展覽館		Lâm-káng Tián-lám-kuán
新店區公所		Sin-tiàm Khu-kong-sóo
七張		Tshit-tiunn
大坪林		Tuā-pînn-nâ
新北產業園區	新北產業園區站	Sin-pak Sán-gia̍p Hn̂g-khu
市政府		Tshī-tsìng-hú
梘尾		Kíng-bé
萬隆		Bān-liông
公館	台灣大學	Kong-kuán
善導寺		Siān-tō-sī
亞東病院		A-tang Pīnn-īnn
南港		Lâm-káng
國父紀念館		Kok-hū Kì-liām-kuán
府中	林家花園	Hú-tiong
後山埤	五分埔商圈	Āu-suann-pi
忠孝敦化		Tiong-hàu Tun-huà
新埔		Sin-poo
昆陽		Khun-iông
枋橋		Pang-kiô
永春		Íng-tshun
港仔喙		Káng-á-tshuì
海山		Hái-san
西門		Se-mn̂g
頂埔		Tíng-poo
龍山寺		Liông-san-sī
臺北橋	捷運台北橋站	Tâi-pak-kiô
小碧潭	新店高中	Sió-phik-thâm
永安市場		Íng-an Tshī-tiûnn
三和國中		Sam-hô Kok-tiong
三民高中	空中大學	Sam-bîn Ko-tiong
三重埔		Sann-tîng-poo
三重國小		Sam-tiông Kok-sió
中山國小	晴光商圈	Tiong-san Kok-sió
丹鳳		Tan-hōng
五谷王廟/先嗇宮		Ngóo-kok-ông-biō/Sian-sik-kiong
南京三民		Lâm-kiann Sam-bîn
南勢角		Lâm-sì-kak
古亭		Kóo-tîng
臺北小巨蛋		Tâi-pak Sió-kū-tàn
大橋頭	大橋國小	Tuā-kiô-thâu
小南門		Sió-lâm-mn̂g
徐匯中學		Tshî-huē Tiong-ha̍k
忠孝新生	台北科大	Tiong-hàu Sin-sing
新莊	新莊廟街	Sin-tsng
景安		Kíng-an
松山		Siông-san
菜寮	新北市立醫院	Tshài-liâu
蘆洲	蘆洲李宅	Lôo-tsiu
輔大		Hú-tāi
迴龍	樂生	Huê-liông
頂溪		Tíng-khue
頭前庄	臺北醫院	Thâu-tsîng-tsng
紅樹林		Âng-tshiū-nâ
臺北海洋大學		Tâi-pak Hái-iûnn Tāi-ha̍k
文心櫻花		Bûn-sim Ing-hue
文華高中		Bûn-huâ Ko-tiong
北屯總站		Pak-tūn Tsóng-tsām
山鼻仔	捷運山鼻站	Suann-phīnn-á
林口	林口站	Nâ-kháu
景安		Kíng-an
凱旋瑞田		Khái-suân Suī-tiân
籬仔內		Lî-á-lāi
前鎮之星		Tsiân-tìn-tsi-tshenn
軟體園區		Nńg-thé Hn̂g-khu
凱旋中華		Khái-suân Tiong-huâ
高雄展覽館		Ko-hiông Tián-lám-kuán
經貿園區		King-bōo Hn̂g-khu
夢時代		Bāng-sî-tāi
高雄國際機場	捷運高雄國際機場站	Ko-hiông Kok-tsè Ki-tiûnn
草衙	捷運草衙站	Tsháu-gê
小港	捷運小港站	Sió-káng
凱旋	捷運凱旋站	Khái-suân
前鎮高中	捷運前鎮高中站	Tsiân-tìn Ko-tiong
獅甲	捷運獅甲站	Sai-kah
三多商圈	捷運三多商圈站	Sam-to Siong-khuan
中央公園	捷運中央公園站	Tiong-iong Kong-hn̂g
西仔灣	捷運西子灣站	Se-á-uân
塌仔底	捷運凹子底站	Lap-á-té
鹽埕埔	捷運鹽埕埔站	Iâm-tiânn-poo
美麗島	捷運美麗島站	Bí-lē-tó
後驛	捷運後驛站	Āu-ia̍h
市議會	捷運市議會站	Tshī-gī-huē
生態園區	捷運生態園區站	Sing-thài Hn̂g-khu
巨蛋	捷運巨蛋站	Kī-tàn
左營	捷運左營站	Tsó-iânn
高雄車站	捷運高雄車站	Ko-hiông Tshia-tsām
世運	捷運世運站	Sè-ūn
油廠國小	捷運油廠國小站	Iû-tshiúnn Kok-sió
後硬	捷運後勁站	Āu-ngē
青埔	捷運青埔站	Tshenn-poo
橋仔頭火車站	捷運橋頭火車站	Kiô-á-thâu Hué-tshia-tsām
信義國小	捷運信義國小站	Sìn-gī Kok-sió
文化中心	捷運文化中心站	Bûn-huà Tiong-sim
五塊厝	捷運五塊厝站	Gōo-tè-tshù
技擊館	捷運技擊館站	Ki-kik-kuán
衛武營	捷運衛武營站	Uē-bú-iânn
鳳山西站	捷運鳳山西站	Hōng-suann Sai-tsām
鳳山	捷運鳳山站	Hōng-suann
大東	捷運大東站	Tāi-tang
鳳山國中	捷運鳳山國中站	Hōng-suann Kok-tiong
文心崇德		Bûn-sim Tsông-tik
泰山	泰山站	Thài-san
大園仔	捷運大園站	Tuā-hn̂g-á
臺北車站	A1台北車站	Tâi-pak Tshia-tsām
三重埔		Sann-tîng-poo
新莊副都心		Sin-tsng Hù-too-sim
泰山貴和		Thài-san Kuì-hô
環北	環北站	Khuân-pak
機場旅館	捷運機場旅館站;機場旅館站	Ki-tiûnn Lí-kuán
機場第二航廈		Ki-tiûnn Tē-jī Hâng-hā
機場第一航廈	捷運機場第一航廈站	Ki-tiûnn Tē-it Hâng-hā
坑仔口	捷運坑口站	Khenn-á-kháu
長庚病院		Tiông-kenn Pēnn-īnn
體育大學		Thé-io̍k Tāi-ha̍k
九張犁		Káu-tiunn-lê
旅運中心		Lí-ūn Tiong-sim
真愛碼頭		Tsin-ài Bé-thâu
光榮碼頭		Kong-îng Bé-thâu
哈瑪星		Há-má-sing
駁二蓬萊		Pok-jī Hông-lâi
駁二大義		Pok-jī Tāi-gī
橋和		Kiô-hô
中和		Tiong-hô
高鐵臺中站		Ko-thih Tâi-tiong-tsām
文心森林公園	臺中捷運綠線G10a站	Bûn-sim Som-lîm Kong-hn̂g
市政府		Tshī-tsìng-hú
舊社		Kū-siā
烏日		Oo-ji̍t
大慶		Tāi-khìng
豐樂公園		Hong-lo̍k Kong-hn̂g
南屯	臺中捷運綠線G11	Lâm-tūn
二份埔		Jī-hūn-poo
松竹		Siông-tik
大寮	捷運大寮站	Tuā-liâu
鼓山區公所		Kóo-san khu-kong-sóo
聖帝廟/文武聖殿		Sìng-tè-biō/Bûn-bú Sìng-tiān
壽山公園		Siū-san Kong-hn̂g
濱海沙崙		Pin-hái Sua-lūn
淡海新市鎮	Tamhai New Town	Tām-hái Sin-tshī-tìn
崁頂		Khàm-tíng
淡水行政中心		Tām-tsuí Hîng-tsìng Tiong-sim
濱海義山		Pin-hái Gī-san
菅蓁林		Kuann-tsin-nâ
淡金鄧公		Tām-kim Tīng-kong
淡江大學		Tām-kang Tāi-ha̍k
淡金北新	北投子	Tām-kim Pak-sin
新市一路		Sin-tshī-it-lōo
水安宮		Tsuí-an-kiong
淡水漁人碼頭	淡水漁人碼頭站	Tām-tsuí Hî-jîn Bé-thâu
沙崙	沙崙站	Sua-lūn
台鐵美術館		Tâi-thih Bí-su̍t-kuán
馬卡道		Ma-ká-táu
鼓山		Kóo-san
輕鐵機廠		Khin-thih ki-tshiúnn
凱旋二聖		Khái-suân Jī-sìng
凱旋武昌		Khái-suân Bú-tshiong
五權國小		Ngóo-khuân Kok-sió
衛生局		Uē-sing-kio̍k
凱旋公園		Khái-suân Kong-hn̂g
