name,name:nan,name:nan-HJ,name:nan-TL
一重橋,It-têng-kiô,,
一壽橋,It-siū-kiô,一壽橋,It-siū-kiô
七十二階,Chhit-cha̍p-jī-khám,七十二坎,Tshit-tsa̍p-jī-khám
七星橋,Chhit-chhiⁿ-kiô,,
二重橋,Jī-têng-kiô,,
八仙橋,Pat-sian-kiô,,
八德街,Pat-tek-koe,八德街,Pat-tik-kue
八德路一段,Pat-tek-lō͘ 1-tōaⁿ,八德路一段,Pat-tik-lōo 1-tuānn
八德路二段,Pat-tek-lō͘ 2-tōaⁿ,八德路二段,Pat-tik-lōo 2-tuānn
八德路三段,Pat-tek-lō͘ 3-tōaⁿ,八德路三段,Pat-tik-lōo 3-tuānn
八德路四段,Pat-tek-lō͘ 4-tōaⁿ,八德路四段,Pat-tik-lōo 4-tuānn
三民路,Sam-bîn-lō͘,三民路,Sam-bîn-lōo
三合橋,Sann-ha̍p-kiô,,
三和路一段,Saⁿ-hô-lō͘ 1-tōaⁿ,三和路一段,Sann-hô-lōo 1-tuānn
三和路二段,Saⁿ-hô-lō͘ 2-tōaⁿ,三和路二段,Sann-hô-lōo 2-tuānn
三和路三段,Saⁿ-hô-lō͘ 3-tōaⁿ,三和路三段,Sann-hô-lōo 3-tuānn
三和路四段,Saⁿ-hô-lō͘ 4-tōaⁿ,三和路四段,Sann-hô-lōo 4-tuānn
三和橋,Saⁿ-hô-kiô,,
三重橋,Saⁿ-têng-kiô,,
三福街,Saⁿ-hok-koe,三福街,Sann-hok-kue
三福街4巷,Saⁿ-hok-koe 4-hāng,三福街4巷,Sann-hok-kue 4-hāng
三福街5巷,Saⁿ-hok-koe 5-hāng,三福街5巷,Sann-hok-kue 5-hāng
三福街74巷,Saⁿ-hok-koe 74-hāng,三福街74巷,Sann-hok-kue 74-hāng
三福街9巷,Saⁿ-hok-koe 9-hāng,三福街9巷,Sann-hok-kue 9-hāng
上磺溪橋,Chhiūⁿ-hông-khe-kiô,,
士林橋,Sū-lîm-kiô,,
大屯橋,Tōa-tūn-kiô,,
大安路一段,Tāi-an-lō͘ 1-tōaⁿ,大安路一段,Tāi-an-lōo 1-tuānn
大安路一段51巷,Tāi-an-lō͘ 1-tōaⁿ 51-hāng,大安路一段51巷,Tāi-an-lōo 1-tuānn 51-hāng
大直街,Tāi-ti̍t-ke,,
大度路,Tōa-tō͘-lō͘,,Tuā-tōo-lōo
大度路一段,Tōa-tō͘-lō͘ 1-tōaⁿ,大度路一段,Tuā-tōo-lōo 1-tuānn
大度路二段,Tōa-tō͘-lō͘ 2-tōaⁿ,大度路二段,Tuā-tōo-lōo 2-tuānn
大度路三段,Tōa-tō͘-lō͘ 3-tōaⁿ,,Tuā-tōo-lōo 3-tuānn
大埔街,Tōa-po͘-koe,大埔街,tuā-poo-kue
大業路自行車道,Tāi-gia̍p-lō͘-thih-bé-tō,,
大業隧道,Tāi-gia̍p-pōng-khang,,
大經橋,Tōa-keng-kiô,,
大漢溪右岸自行車道,Tōa-hàn-khoe Iū-hōaⁿ Thih-bé-tō,大漢溪右岸鐵馬道,Tuā-hàn-khue Iū-huānn Thih-bé-tō
小椰林道,Sió-iâ-nâ-tō,小椰林道,Sió-iâ-nâ-tō
中山一路,Tiong-san 1-lō͘,中山一路,Tiong-san 1-lōo
中山二路,Tiong-san 2-lō͘,中山二路,Tiong-san 2-lōo
中山北路一段,Tiong-san-pak-lō͘-1-tōaⁿ,,Tiong-san-pak-lōo-1-tuānn
中山北路七段,Tiong-san-pak-lō͘-7-tōaⁿ,,Tiong-san-pak-lōo-7-tuānn
中山北路二段,Tiong-san-pak-lō͘-2-tōaⁿ,,Tiong-san-pak-lōo-2-tuānn
中山北路三段,Tiong-san-pak-lō͘-3-tōaⁿ,,Tiong-san-pak-lōo-3-tuānn
中山北路五段,Tiong-san-pak-lō͘-5-tōaⁿ,,Tiong-san-pak-lōo-5-tuānn
中山北路六段,Tiong-san-pak-lō͘-6-tōaⁿ,,Tiong-san-pak-lōo-6-tuānn
中山北路四段,Tiong-san-pak-lō͘-4-tōaⁿ,,Tiong-san-pak-lōo-4-tuānn
中山南路,Tiong-san-lâm-lō͘,,Tiong-san-lâm-lōo
中山高速公路,Tiong-san-ko-sok-kong-lō͘,,Tiong-san-ko-sok-kong-lōo
中山堂廣場,Tiong-san-tn̂g-tiâⁿ,中山堂埕,Tiong-san-tn̂g-tiânn
中山路一段,Tiong-san-lō͘ 1-tōaⁿ,中山路一段,Tiong-san-lōo 1-tuānn
中山路二段,Tiong-san-lō͘ 2-tōaⁿ,中山路二段,Tiong-san-lōo 2-tuānn
中山路二段,Tiong-san-lō͘ 2-tōaⁿ,中山路二段,Tiong-san-lōo 2-tuānn
中山路三段,Tiong-san-lō͘ 3-tōaⁿ,中山路三段,Tiong-san-lōo 3-tuānn
中山橋,Tiong-san-kiô,,
