name,name:nan,name:nan-HJ,name:nan-TL
青埔,Chheng-po͘,青埔,Tshenn-poo
橋頭糖廠,Kiô-á-thâu Thn̂g-chhiúⁿ,橋仔頭糖廠,Kiô-á-thâu Thn̂g-tshiúnn
市立體育場,Chhī-li̍p Thé-io̍k-koán,市立體育場,Tshī-li̍p Thé-io̍k-kuán
新北市政府(新府路),Sin-pak-chhī-chèng-hú(Sin-hú-lō͘),新北市政府(新府路),Sin-pak-tshī-tsìng-hú(Sin-hú-lōo)
文化中心,Bûn-hòa Tiong-sim,文化中心,Bûn-huà Tiong-sim
長榮大學,Tióng-êng Tāi-ha̍k,長榮大學,Tióng-îng Tāi-ha̍k
安和敦化路口,An-hô Tun-hòa Lō͘-kháu,安和敦化路口,An-hô Tun-huà Lōo-kháu
橋頭火車站,Kiô-á-thâu Hóe-chhia-chām,橋仔頭火車站,Kiô-á-thâu Hué-tshia-tsām
昆陽,Khun-iông,昆陽,Khun-iông
南港高中,Lâm-káng Ko-tiong,南港高中,Lâm-káng Ko-tiong
東山里,Tang-soaⁿ-lí,東山里,Tang-suann-lí
台大,Tâi-tāi,臺大,Tâi-tāi
桃園,Thô-hn̂g,桃園,Thô-hn̂g
林口,Nâ-á-kháu,林仔口,Nâ-á-kháu
前鎮國中,Chêng-tìn Kok-tiong,前鎮國中,Tsīng-tìn Kok-tiong
浮洲,Phû-chiu-á,浮洲仔,Phû-tsiu-á
新埔,Sin-po͘,新埔,Sin-poo
大直,Tuā-ti̍t,,
台大綜合體育館,Tâi-tāi Chong-ha̍p Thé-io̍k-koán,台大綜合體育館,Tâi-tāi Tsong-ha̍p Thé-io̍k-kuán
關渡,Kan-tāu,,Kan-tāu
竹圍,Tek-ûi-á,竹圍仔,Tik-ûi-á
大安森林公園,Tāi-an-sim-lîm-kong-hn̂g,,Tāi-an-sim-lîm-kong-hn̂g
中原,Tiong-guân,,Tiong-guân
屏東,Pîn-tong,屏東,Pîn-tong
靜心高中,Chēng-sim Ko-tiong,靜心高中,Tsīng-sim Ko-tiong
凱旋公園,Khái-soân Kong-hn̂g,凱旋公園,Khái-suân Kong-hn̂g
衛生局,Ōe-seng-kio̍k,衛生局,Uē-sing-kio̍k
五權國小,Ngó͘-khoân Kok-sió,五權國小,Ngóo-khuân Kok-sió
凱旋武昌,Khái-soân Bú-chhiong,凱旋武昌,Khái-suân Bú-tshiong
凱旋二聖,Khái-soân Jī-sèng,凱旋二聖,Khái-suân Jī-sìng
輕軌機廠,Khin-thih Ki-chhiúⁿ,輕鐵機廠,Khin-thih ki-tshiúnn
麟光站,Lîn-kong-chām,麟光站,Lîn-kong-tsām
大我新舍,Tāi-ngó͘ Sin-siā,大我新舍,Tāi-ngóo Sin-siā
光華商場,Kong-hôa Siong-tiûⁿ,光華商場,Kong-huâ Siong-tiûnn
文山二分局,Bûn-san Jī-hun-kio̍k,文山二分局,Bûn-san Jī-hun-kio̍k
新生南路一段,Sin-seng Lâm-lō͘ 1-tōaⁿ,新生南路一段,Sin-sing Lâm-lōo 1-tuānn
進安公園,Chìn-an Kong-hn̂g,進安公園,Tsìn-an Kong-hn̂g
指南客運樹林站,Chí-lâm Kheh-ūn Chhiū-nâ-á-chām,指南客運樹林仔站,Tsí-lâm-kheh-ūn Tshiū-nâ-á-tsām
八德中洲街口,Pat-tek Tiong-chiu Koe-á-kháu,八德中洲街仔口,Pat-tik Tiong-tsiu Kue-á-kháu
樂山一,Lo̍k-soaⁿ 1,樂山一,Lo̍k-suann 1
樂山,Lo̍k-soaⁿ,樂山,Lo̍k-suann
風路坑,Hong-lō͘-khiⁿ,風路坑,Hong-lōo-khinn
臺北科技大學,Tâi-pak Kho-ki Tāi-ha̍k,臺北科技大學,Tâi-pak Kho-ki Tāi-ha̍k
老梅,Lo-boe,老梅,Lo-bue
南樹林火車站,Lâm-chhiū-nâ-á Hé-chhia-chām,南樹林仔火車站,Lâm-tshiū-nâ-á Hé-tshia-tsām
東山,Tang-soaⁿ,東山,Tang-suann
山佳國小,Soaⁿ-á-kha Kok-sió,山仔跤國小,Suann-á-kha Kok-sió
吉祥寺,Kiat-siông-sī,吉祥寺,Kiat-siông-sī
中洲街口,Tiong-chiu Koe-á-kháu,中洲街仔口,Tiong-tsiu-kue-á-kháu
山佳,Soaⁿ-á-kha,山仔跤,Suann-á-kha
淨律寺,Chēng-lu̍t-sī,淨律寺,Tsīng-lu̍t-sī
阿南坑,A-lâm-khiⁿ,阿南坑,A-lâm-khinn
陽光峇里,Iông-kong Pa-lí,陽光峇里,Iông-kong Pa-lí
水景,Chúi-kéng,水景,Tsuí-kíng
市立大學附小,Chhī-li̍p Tāi-ha̍k Hù-sió,市立大學附小,Tshī-li̍p Tāi-ha̍k Hù-sió
一女中(公園),It-lú-tiong(Kong-hn̂g),一女中,It-lú-tiong
沙崙,Soa-lūn,沙崙,Sua-lūn
江子翠,Káng-á-chhùi,港仔喙,Káng-á-tshuì
師大分部,Su-tāi Hun-pō͘,師大分部,Su-tāi Hun-pōo
十四張,Cha̍p-sì-tiuⁿ,十四張,Tsa̍p-sì-tiunn
秀朗橋,Siù-lóng-kiô,秀朗橋,Siù-lóng-kiô
福州街口,Hok-chiu Koe-kháu,福州街口,Hok-tsiu Kue-kháu
潮州街口,Tiô-chiu Koe-kháu,潮州街口,Tiô-tsiu Kue-kháu
南福板溪(南昌公園),Lâm-hok Pang-khoe(Lâm-chhiong Kong-hn̂g),南福板溪(南昌公園),Lâm-hok Pang-khue(Lâm-tshiong Kong-hn̂g)
羅斯福寧波街口,Lô-su-hok Lêng-po Koe-kháu,羅斯福寧波街口,Lô-su-hok Lîng-po Kue-kháu
羅斯福金門街口,Lô-su-hok Kim-mn̂g Koe-kháu,羅斯福金門街口,Lô-su-hok Kim-mn̂g Kue-kháu
羅斯福浦城街口,Lô-su-hok Phó͘-siâⁿ Koe-kháu,羅斯福浦城街口,Lô-su-hok Phóo-siânn Kue-kháu
晉江師大路口,Chìn-kang Su-tāi Lō͘-kháu,晉江師大路口,Tsìn-kang Su-tāi Lōo-kháu
溪口國小,Khoe-kháu Kok-sió,溪口國小,Khue-kháu Kok-sió
景福街,Kéng-hok-koe,景福街,Kíng-hok-kue
潮州街口,Tiô-chiu Koe-kháu,,Tiô-tsiu Kue-kháu
愛國東路口,Ài-kok Tang-lō͘,愛國東路口,Ài-kok Tang-lōo
金甌女中,Kim-au Lú-tiong,金甌女中,Kim-au Lú-tiong
信義杭州路口,Sìn-gī Hâng-chiu Lō͘-kháu,信義杭州路口,Sìn-gī Hâng-tsiu Lōo-kháu
客家文化主題公園,Kheh-ka Bûn-hòa Chú-tê Kong-hn̂g,客家文化主題公園,Kheh-ka Bûn-huà Tsú-tê Kong-hn̂g
三軍總醫院(辛亥),Sam-kun Chóng-pīⁿ-īⁿ(Sin-hāi),三軍總病院(辛亥),Sam-kun Tsóng-pīnn-īnn(Sin-hāi)
耕莘文教院,Keng-sin Bûn-kàu-īⁿ,耕莘文教院,King-sin Bûn-kàu-īnn
信義新生路口,Sìn-gī Sin-seng Lō͘-kháu,信義新生路口,Sìn-gī Sin-sing Lōo-kháu
龍安國小(公務人力發展學院),Liông-an Kok-sió(Kong-bū Jîn-le̍k Hoat-tián Ha̍k-īⁿ)),龍安國小(公務人力發展學院),Liông-an Kok-sió(Kong-bū Jîn-li̍k Huat-tián Ha̍k-īnn)
金華新生路口,Kim-hôa Sin-seng Lō͘-kháu,金華新生路口,Kim-huâ Sin-sing Lōo-kháu
