name,alt_name,name:nan-HJ,name:nan,name:nan-TL
長濱鄉,,,Tiông-pin-hiong,
褒忠鄉,,,Po-tiong-hiong,
田寮區,,,Chhân-liâu-khu,
深坑區,,,Chhim-kheⁿ-khu,
社頭鄉,,,Siā-thâu-hiong,
平鎮區,,,Pêng-tìn-khu,
大園區,,,Toā-hn̂g-khu,
二崙鄉,,,Jī-lūn-hiong,
路竹區,,,Lō͘-tek-khu,
板橋區,,枋橋區,Pang-kiô-khu,Pang-kiô-khu
伸港鄉,伸港,,Sin-káng-hiong,
後壁區,,,Āu-piah-khu,
獅子鄉,,,Sai-á-hiong,
頭份市,,,Thâu-hūn-chhī,
大社區,,,Tōa-siā-khu,
達仁鄉,,,Ta̍t-jîn-hiong,
北埔鄉,,,Pak-po͘-hiong,
大甲區,,,Tāi-kah-khu,
阿里山鄉,阿里山,,A-lí-san-hiong,
莒光鄉,,,Kí-kong-hiong,
東山區,,,Tong-san-khu,
花蓮市,,,Hoa-liân-chhī,
虎尾鎮,,,Hó͘-bóe-tìn,
東區,,,Tang-khu,
大溪區,,,Tāi-khe-khu,
金山區,,,Kim-san-khu,
鹽水區,,,Kiâm-chúi-khu,
馬公市,,,Má-keng-chhī,
雙溪區,,,Siang-khe-khu,
枋山鄉,,,Pang-soaⁿ-hiong,
彰化市,,,Chiong-hoà-chhī,
金峰鄉,,,Kim-hong-hiong,
屏東市,Pingtung City,,Pîn-tong-chhī,
瑞芳區,,,Sūi-hong-khu,
溪口鄉,,,Khe-kháu-hiong,
大埔鄉,,,Tōa-po͘-hiong,
楊梅區,,,Iûⁿ-mûi-khu,
關山鎮,,,Koan-san-tìn,
田尾鄉,,,Chhân-boé-hiong,
高樹鄉,,,Ko-chhiū-hiong,
民雄鄉,,,Bîn-hiông-hiong,
新埔鎮,,,Sin-po͘-tìn,
望安鄉,,,Bāng-oaⁿ-hiong,
下營區,,,Ē-iâⁿ-khu,
南竿鄉,,南竿鄉,Lâm-kan-hiong,Lâm-kan-hiong
鹿港鎮,,,Lo̍k-káng-tìn,
六腳鄉,,,La̍k-kha-hiong,
成功鎮,,,Sêng-kong-tìn,
梧棲區,,,Gô͘-chhe-khu,
三峽區,,,Sam-kiap-khu,
左鎮區,,,Chó-tìn-khu,
鹿草鄉,,,Lo̍k-chháu-hiong,
布袋鎮,,,Pò͘-tē-tìn,
前金區,,,Chiân-kim-khu,
中和區,,,Tiong-hô-khu,
鹽埕區,,,Iâm-tiâⁿ-khu,
綠島鄉,,,Le̍k-tó-hiong,
線西鄉,,,Soàⁿ-sai-hiong,
苗栗縣,,苗栗縣,Biâu-le̍k-koān,Biâu-li̍k-kuān
杉林區,,,Sam-nâ-khu,
中山區,,,Tiong-san-khu,
沙鹿區,,,Soa-lak-khu,
田中鎮,,,Tiân-tiong-tìn,
南庄鄉,,,Lâm-chng-hiong,
桃園市,,桃園市,Thô-hn̂g-chhī,Thô-hn̂g-tshī
臺東縣,,臺東縣,Tâi-tang-koān,Tâi-tang-kuān
新店區,,,Sin-tiàm-khu,
萬巒鄉,,,Bân-bân-hiong,
