name,alt_name,name:nan,name:nan-HJ,name:nan-TL
玉里,,Gio̍k-lí,玉里,Gio̍k-lí
桃園,,Thô-hn̂g,桃園,Thô-hn̂g
中壢,,Tiong-le̍k,中壢,Tiong-li̍k
新左營,新左營,Sin-chó-iâⁿ,新左營,Sin-tsó-iânn
臺南,,Tâi-lâm,臺南,Tâi-lâm
保安,,Pó-an,保安,Pó-an
大湖,,Tōa-ô͘,大湖,Tuā-ôo
岡山,,Kong-san,岡山,Kong-san
橋頭,,Kiô-á-thâu,橋仔頭,Kiô-á-thâu
楠梓,,Lâm-á-kheⁿ,楠仔坑,Lâm-á-khenn
屏東,Pingtung Station,Pîn-tong,屏東,Pîn-tong
大肚,,Tōa-tō͘,大肚,Tuā-tōo
彰化,彰化火車站,Chiong-hòa,彰化,Tsiong-huà
大林,大林站,Tōa-nâ,大林,Tuā-nâ
斗六,斗六車站,Táu-la̍k,斗六,Táu-la̍k
社頭,社頭車站,Siā-thâu,社頭,Siā-thâu
竹北,,Tek-pak,竹北,Tik-pak
後龍,,Āu-lâng,後壠,Āu-lâng
白沙屯,,Pe̍h-soa-tun,白沙墩,Pe̍h-sua-tun
通霄,,Thong-siau,通霄,Thong-siau
九曲堂,,Kiú-khiok-tông,九曲堂,Kiú-khiok-tông
光復,光復站,Kong-ho̍k,光復,Kong-ho̍k
南平,南平站,Lâm-pêng,南爿,Lâm-pîng
豐田,豐田站,Hong-tiân,豐田,Hong-tiân
壽豐,壽豐車站,Siū-hong,壽豐,Siū-hong
志學,,Chì-ha̍k,志學,Tsì-ha̍k
吉安,吉安站,Kiat-an,吉安,Kiat-an
四城,,Sì-siâⁿ,四城,Sì-siânn
龜山,,Ku-soaⁿ,龜山,Ku-suann
大里,,Tāi-lí,大里,Tāi-lí
雙溪,,Siang-khe,雙溪,Siang-khe
牡丹,,Bó͘-tan,牡丹,Bóo-tan
三貂嶺,,Sam-tiau-niá,三貂嶺,Sam-tiau-niá
猴硐,,Kâu-tōng-á,猴洞仔,Kâu-tōng-á
瑞芳,,Sūi-hong,瑞芳,Suī-hong
四腳亭,,Sì-kha-têng,四跤亭,Sì-kha-tîng
七堵,,Chhit-tó͘,七堵,Tshit-tóo
五堵,,Gō͘-tó͘,五堵,Gōo-tóo
汐科,,Se̍k-kho,汐科,Si̍k-kho
汐止,,Se̍k-chí,汐止,Si̍k-tsí
福隆,,Hok-liông,福隆,Hok-liông
二結,,Jī-kiat,二結,Jī-kiat
羅東,,Lô-tong,羅東,Lô-tong
萬榮,萬榮站,Bān-êng,萬榮,Bān-îng
富源,,Hù-goân,富源,Hù-guân
瑞穗,,Chúi-bóe,水尾,Tsuí-bué
三民,,Sam-bîn,三民,Sam-bîn
后里,后里站;后里車站,Āu-lí,後里,Āu-lí
銅鑼,,Tâng-lô,銅鑼,Tâng-lô
苗栗,,Biâu-le̍k,苗栗,Biâu-li̍k
三義,,Sam-gī,三義,Sam-gī
田中,田中車站,Tiân-tiong,田中,Tiân-tiong
斗南,斗南站,Táu-lâm,斗南,Táu-lâm
新埔,,Sin-po͘,新埔,Sin-poo
三坑,,Saⁿ-kheⁿ-á,三坑仔,Sann-khenn-á
基隆,,Ke-lâng,鷄籠,Ke-lâng
湖口,,Ô͘-kháu,湖口,Ôo-kháu
新豐,,Sin-hong,新豐,Sin-hong
濁水,濁水車站,Lô-chúi,濁水,Lô-tsuí
大山,,Tōa-soaⁿ-kha,大山跤,Tuā-suann-kha
後庄,後庄車站,Āu-chng,後庄,Āu-tsng
十分,,Cha̍p-hūn,十份,Tsa̍p-hūn
勝興,,Sèng-heng,勝興,Sìng-hing
泰安,,Thài-an,泰安,Thài-an
魚藤坪,,Liông-thêng,龍騰,Liông-thîng
水上,,Chúi-siōng,水上,Tsuí-siōng
大村,大村車站,Tāi-chhoan,大村,Tāi-tshuan
花壇,花壇車站,Hoe-tôaⁿ,花壇,Hue-tuânn
二水,二水車站,Jī-chúi,二水,Jī-tsuí
大慶,大慶站,Tāi-khèng,大慶,Tāi-khìng
林內,林內車站,Nâ-lāi,林內,Nâ-lāi
瀧溪,,Liông-khe,瀧溪,Liông-khe
太麻里,,Thài-mâ-lí,太麻里,Thài-mâ-lí
枋寮,,Pang-liâu,枋寮,Pang-liâu
大武,,Tāi-bú,大武,Tāi-bú
金崙,,Kim-lūn,金崙,Kim-lūn
加祿,,Ka-lo̍k,加祿,Ka-lo̍k
佳冬,,Ka-tang,茄苳,Ka-tang
西勢,,Sai-sì,西勢,Sai-sì
林邊,,Nâ-á-piⁿ,林仔邊,Nâ-á-pinn
南州,,Lâm-chiu,南州,Lâm-tsiu
內灣,,Lāi-oan,內灣,Lāi-uan
沙崙,,Soa-lūn,沙崙,Sua-lūn
長榮大學,,Tióng-êng Tāi-ha̍k,長榮大學,Tióng-îng Tāi-ha̍k
枋野,,Pang-iá,枋野,Pang-iá
內壢,,Lāi-le̍k,內壢,Lāi-li̍k
楊梅,,Iûⁿ-mûi,楊梅,Iûnn-muî
萬華,,Báng-kah,艋舺,Báng-kah
浮洲,,Phû-chiu-á,浮洲仔,Phû-tsiu-á
竹南,,Tek-lâm,竹南,Tik-lâm
竹東,,Tek-tang,竹東,Tik-tang
鹿野,,Lo̍k-iá,鹿野,Lo̍k-iá
山里,,San-lí,山里,San-lí
富里,,Hù-lí,富里,Hù-lí
千甲,,Chhian-kah,千甲,Tshian-kah
北新竹,,Pak-sin-tek,北新竹,Pak-sin-tik
新莊,,Sin-chng-á,新庄仔,Sin-tsng-á
柳營,,Liú-iâⁿ,柳營,Liú-iânn
松山,松山火車站,Siông-san,松山,Siông-san
古莊號誌,古莊號誌站,Kó͘-chng Hō-chì,古莊號誌,Kóo-tsng Hō-tsì
石龜,石龜車站,Chio̍h-ku-khe,石龜溪,Tsio̍h-ku-khe
竹田,,Tek-chhân,竹田,Tik-tshân
談文,談文車站,Tām-bûn-ô͘,淡文湖,Tām-bûn-ôo
水里,水里車站,Chúi-lí,水里,Tsuí-lí
車埕,,Chhia-tiâⁿ,車埕,Tshia-tiânn
集集,,Chi̍p-chi̍p,集集,Tsi̍p-tsi̍p
龍泉,,Liông-chôaⁿ,龍泉,Liông-tsuânn
池上,,Tî-siōng,池上,Tî-siōng
北湖,,Pak-ô͘,北湖,Pak-ôo
中洲,,Tiong-chiu,中洲,Tiong-tsiu
九讚頭,,Káu-chàn-thâu,校欑頭、九欑頭,Káu-tsàn-thâu
富岡,,Hù-kong,富岡,Hù-kong
南樹林,,Lâm-chhiū-nâ,南樹林,Lâm-tshiū-nâ
貢寮,,Khōng-á-liâu,槓仔寮,Khōng-á-liâu
仁德,,Jîn-tek,仁德,Jîn-tik
民雄,Min Hsiung Train Station,Bîn-hiông,民雄,Bîn-hiông
大溪,,Tōa-khe,大溪,Tuā-khe
源泉,,Goân-chôaⁿ,源泉,Guân-tsuânn
員林,,Oân-lîm,員林,Uân-lîm
南靖,,Lâm-chēng,南靖,Lâm-tsīng
嘉義,,Ka-gī,嘉義,Ka-gī
嘉北,,Ka-pak,嘉北,Ka-pak
太原,,Thài-goân,太原,Thài-guân
造橋,造橋車站,Chō-kiô,造橋,Tsō-kiô
新竹,,Sin-tek,新竹,Sin-tik
大甲,,Tāi-kah,大甲,Tāi-kah
臺中港,,Tâi-tiong-káng,臺中港,Tâi-tiong-káng
清水,,Chheng-chúi,清水,Tshing-tsuí
追分,,Tui-hun,追分,Tui-hun
新烏日,,Sin-o͘-ji̍t,新烏日,Sin-oo-ji̍t
龍井,,Liông-chéⁿ,龍井,Liông-tsénn
沙鹿,,Soa-lak,沙轆,Sua-lak
