name,alt_name,name:nan-HJ,name:nan,name:nan-TL
大安森林公園,,,Tāi-an-sim-lîm-kong-hn̂g,Tāi-an-sim-lîm-kong-hn̂g
國立高雄大學,,國立高雄大學,Kok-li̍p Ko-hiông Tāi-ha̍k,Kok-li̍p Ko-hiông Tāi-ha̍k
象山公園,,象山公園,Chhiūⁿ-soaⁿ Kong-hn̂g,Tshiūnn-suann Kong-hn̂g
興隆公園,,興隆公園,Heng-liông Kong-hn̂g,Hing-liông Kong-hn̂g
景華公園,,景華公園,Kéng-hôa Kong-hn̂g,Kíng-huâ Kong-hn̂g
140高地公園,,,140-ko-tē-kong-hn̂g,
仙岩公園,,仙岩公園,Sian-giâm Kong-hn̂g,Sian-giâm Kong-hn̂g
溫州公園,,溫州公園,Un-chiu Kong-hn̂g,Un-tsiu Kong-hn̂g
文盛公園,,文盛公園,Bûn-sēng Kong-hn̂g,Bûn-sīng Kong-hn̂g
關渡水岸公園,,,Kan-tāu-tsuí-huānn-kong-hn̂g,
烏日國小,,,Oo-ji̍t-kok-sió,
至善國中,,,Tsì-siān-kok-tiong,
林森公園,,林森公園,Lîm-sim Kong-hn̂g,
瑞豐國小,高雄市前鎮區瑞豐國民小學;瑞豐國小,瑞豐國小,Sūi-hong Kok-sió,Sūi-hong Kok-sió
國立臺中教育大學,,,Kok-li̍p-tâi-tiong-kàu-io̍k-tāi-ha̍k,
八二三紀念公園(4號公園),中和公園;四號公園;中和823公園,,Pat-jī-sam-kì-liām-kong-hn̂g(4-hō-kong-hn̂g),
大有國小,,大有國小,Tāi-ū Kok-sió,Tāi-ū Kok-sió
介壽公園,,,Kài-siū-kong-hn̂g,
榮星花園公園,,榮星花園公園,Êng-chhiⁿ Hoe-hn̂g Kong-hn̂g,Îng-tshínn Hue-hn̂g Kong-hn̂g
金華公園,,金華公園,Kim-hôa Kong-hn̂g,Kim-huâ Kong-hn̂g
順天國中,,順天國中,Sūn-thian Kok-tiong,Sūn-thian Kok-tiong
瑞芳國小,,,Suī-hong-kok-sió,
民德國中,,,Bîn-tik-kok-tiong,
立人國小,,,Li̍p-jîn-kok-sió,
赤崁樓,赤嵌樓,,Chhiah-khàm-lâu,
勝利國小,,,Sìng-lī-kok-sió,
長榮中學,,,Tióng-îng-tiong-ha̍k,
臺南市北區大光國民小學,,,Tāi-kong-kok-sió,
延平國中,,,Iân-pîng-kok-tiong,
開元國小,,,Khui-guân-kok-sió,
勝利國小,,,Sìng-lī-kok-sió,
後甲國中,,,Āu-kah-kok-tiong,
遠東科技大學,,,Uán-tong-tāi-ha̍k,
美崙公園,美崙科學公園,美崙公園,Bí-lūn Kong-hn̂g,Bí-lūn Kong-hn̂g
麗林國小,,麗林國小,Lē-lîm-kok-sió,Lē-lîm-kok-sió
大直公園,,,Tāi-ti̍t-kong-hn̂g,
萬里國中,,,Bān-lí-kok-tiong,
萬里國小,,,Bān-lí-kok-sió,
三潭國小,,,Sam-thâm-kok-sió,
山腳國小,,山跤國小,Soaⁿ-kha Kok-sió,Suann-kha Kok-sió
康樂公園,,康樂公園,Khong-lo̍k Kong-hn̂g,Khong-lo̍k Kong-hn̂g
國立暨南國際大學,,國立暨南國際大學,Kok-li̍p Kì-lâm Kok-chè Tāi-ha̍k,Kok-li̍p Kì-lâm Kok-tsè Tāi-ha̍k
萬和一號公園,,萬和一號公園,Bān-hô 1-hō Kong-hn̂g,Bān-hô 1-hō Kong-hn̂g
萬有二號公園,,萬有二號公園,Bān-iú 2-hō Kong-hn̂g,Bān-iú 2-hō Kong-hn̂g
萬和二號公園,,萬和二號公園,Bān-hô 2-hō Kong-hn̂g,Bān-hô 2-hō Kong-hn̂g
萬和三號公園,,萬和三號公園,Bān-hô 3-hō Kong-hn̂g,Bān-hô 3-hō Kong-hn̂g
西區中正國小,,,Tiong-tsìng-kok-sió,
梨山國中小,,,Lê-san Kok-tiong-sió,Lê-san Kok-tiong-sió
福營國中,,福營國中,Hok-êng Kok-tiong,Hok-îng Kok-tiong
興豐公園,,,Hing-hong-kong-hn̂g,
中正國中小,,中正國民中小,Tiong-chèng Kok-tiong-sió,Tiong-tsìng Kok-tiong-sió
光華國小,,光華國小,Kong-hôa Kok-sió,Kong-huâ Kok-sió
進安公園,,進安公園,Chìn-an Kong-hn̂g,Tsìn-an Kong-hn̂g
中山國小,,,Tiong-san-kok-sió,
新豐國中,,,Sin-hong-kok-tiong,
復興公園,,復興公園,Ho̍k-heng Kong-hn̂g,Ho̍k-hing Kong-hn̂g
龍山國小,,,Liông-san-kok-sió,
永安國中,,永安國中,Éng-an Kok-tiong,Íng-an Kok-tiong
新民國小,,,Sin-bîn-kok-sió,
青年公園,,青年公園,Chheng-liân Kong-hn̂g,Tshing-liân-kong-hn̂g
台南二中,國立台南第二高級中學,,Tâi-lâm-jī-tiong,
瑞平國小,,瑞平國小,Sūi-pêng Kok-sió,Suī-pîng Kok-sió
麗園國小,,麗園國小,Lē-hn̂g-kok-sió,Lē-hn̂g-kok-sió
頂埔國小,,頂埔國小,Téng-po͘ Kok-sió,Tíng-poo Kok-sió
北投社三層崎公園,,,Pak-tâu-siā-sam-kiâ-kong-hn̂g,Pak-tâu-siā-sam-kiâ-kong-hn̂g
西溪國小,,,Sai-khe-kok-sió,
成功國中,,,Sîng-kong-kok-tiong,
三十張犁公園,,三十張犁公園,Saⁿ-cha̍p-tiuⁿ-lôe Kong-hn̂g,Sann-tsa̍p-tiunn-luê Kong-hn̂g
東豐公園,,,Tang-hong-kong-hn̂g,
中原公園,,中原公園,Tiong-goân Kong-hn̂g,Tiong Kong-hn̂g
雙冬國小,縣立雙冬國小,雙冬國小,Siang-tang Kok-sió,Siang-tang Kok-sió
仁德公園,,仁德公園,Jîn-tek Kong-hn̂g,Jîn-tik Kong-hn̂g
綠湖公園,裕隆公園,綠湖公園,Le̍k-ô͘ Kong-hn̂g,Li̍k-ôo Kong-hn̂g
淡江大學蘭陽校區,,淡江大學蘭陽校區,Tām-kang Tāi-ha̍k Lân-iông Hāu-khu,Tām-kang Tāi-ha̍k Lân-iông Hāu-khu
佛光大學,,佛光大學,Pu̍t-kong Tāi-ha̍k,Pu̍t-kong Tāi-ha̍k
大湳公園,,大湳公園,Tōa-lâm Kong-hn̂g,Tuā-lâm Kong-hn̂g
樂善公園,,樂善公園,Lo̍k-siān Kong-hn̂g,Lo̍k-siān Kong-hn̂g
中教大實小,,,Tiong-kàu-tāi-si̍t-sió,
旭光國小,,旭光國小,Hiok-kong kok-sió,Hiok-kong Kok-sió
東海大學,,東海大學,Tang-hái Tāi-ha̍k,Tang-hái Tāi-ha̍k
景豐公園,,景豐公園,Kéng-hong Kong-hn̂g,Kíng-hong Kong-hn̂g
中庸二號公園,,,Tiong-iông-jī-hō-kong-hn̂g,
中庸一號公園,,,Tiong-iông-it-hō-kong-hn̂g,
建民公園,,,Kiàn-bîn-kong-hn̂g,
明德綠地,,,bêng-tek-le̍k-tē,
榮華公園,,,êng-hoa-kong-hn̂g,
風禾公園,,風禾公園,Hong-hô Kong-hn̂g,Hong-hô Kong-hn̂g
關渡國中,,關渡國中,Kan-tāu Kok-tiong,Kan-tāu Kok-tiong
至善公園,,至善公園,Chì-siān Kong-hn̂g,Tsì-siān Kong-hn̂g
虎井國小,,,Hóo-tsíng-kok-sió,
興泰公園,文山區21號公園,興泰公園,Heng-thài Kong-hn̂g,Hing-thài-kong-hn̂g
新北大都會公園,,,Sin-pak-tuā-too-huē-kong-hn̂g,
西口國小,,西口國小,Sai-kháu Kok-sió,Sai-kháu Kok-sió
文昌國小,,,Bûn-chhiong-kok-sió,Bûn-tshiong-kok-sió
風櫃國小,,,Hong-kuī-kok-sió,
內垵國小,,,Lāi-uann-kok-sió,
西嶼國中,,,Sai-sū-kok-tiong,Sai-sū-kok-tiong
竹灣國小,,,Tek-oan-kok-sió,Tik-uan-kok-sió
外垵國小,,,Guā-uann-kok-sió,
大埤國小,,,Tuā-pi-kok-sió,
興仁國小,,,Hing-jîn-kok-sió,
鹽洲國小,,,Iâm-chiu Kok-sió,Iâm-tsiu Kok-sió
東昇公園,,,Tang-sing-kong-hn̂g,
湖西國中,,,Ôo-se-kok-tiong,
東和國小,,東和國小,Tong-hô Kok-sió,
大同公園,,大同公園,Tāi-tông Kong-hn̂g,Tāi-tông Kong-hn̂g
椰城公園,,,Iâ-siânn-kong-hn̂g,
新新公園,南港62號濕地公園,新新公園,Sin-sin Kong-hn̂g,Sin-sin Kong-hn̂g
大池國小,,,Tōa-tî-kok-sió,Tuā-tî-kok-sió
臺中日僑學校,,臺中日僑學校,Tâi-tiong Ji̍t-kiâu Ha̍k-hāu,Tâi-tiong Ji̍t-kiâu Ha̍k-hāu
坡內坑公園,,坡內坑公園,Pho-lāi-khiⁿ Kong-hn̂g,Pho-lāi-khinn Kong-hn̂g
龍山國中,,龍山國中,Liông-soaⁿ Kok-tiong,name:nan=Liông-suann Kok-tiong
福星國小,,福星國小,Hok-seng-kok-sió,Hok-sing-kok-sió
忠孝國中,,忠孝國中,Tiong-hàu Kok-tiong,Tiong-hàu Kok-tiong
中正紀念公園,中正紀念堂園區,,Tiong-chèng Kì-liām Kong-hn̂g,Tiong-tsìng Kì-liām Kong-hn̂g
國立政治大學,,,Kok-li̍p Chèng-tī Tāi-ha̍k,
萬福國小,,萬福國小,Bān-hok Kok-sió,Bān-hok Kok-sió
螢橋國中,,螢橋國中,Êng-kiô Kok-tiong,Îng-kiô Kok-tiong
建國中學,,建國中學,Kiàn-kok Tiong-ha̍k,Kiàn-kok Tiong-ha̍k
真理大學,,真理大學,Chin-lí Tāi-ha̍k,Tsin-lí Tāi-ha̍k
國立臺灣大學,臺灣大學;國立台灣大學;台灣大學,國立臺灣大學,Kok-li̍p Tâi-oân Tāi-ha̍k,Kok-li̍p-tâi-uân-tāi-ha̍k
世新大學,景美溪大學,世新大學,Sè-sin Tāi-ha̍k,Sè-sin Tāi-ha̍k
銘傳國小,,銘傳國小,Bêng-thoân Kok-sió,Bîng-thuân Kok-sió
景美國小,,,Kíng-bé-kok-sió,
志清國小,,志清國小,Chì-chheng Kok-sió,Tsì-tshing Kok-sió
景興國中,,景興國中,Kéng-heng Kok-tiong,Kíng-hing Kok-tiong
武功國小,,武功國小,Bú-kong Kok-sió,Bú-kong Kok-sió
南門國小,,南門國小,Lâm-mn̂g Kok-sió,Lâm-mn̂g Kok-sió
台北植物園,,台北植物園,Tâi-pak Si̍t-bu̍t-hn̂g,Tâi-pak Si̍t-bu̍t-hn̂g
弘道國中,,弘道國中,Hông-tō Kok-tiong,Hông-tō Kok-tiong
景美女中,,景尾女中,Kéng-bé Lú-tiong,Kíng-bé Lú-tiong
臺灣警察專科學校,,臺灣警察專科學校,Tâi-oân Kéng-chhat Choan-kho Ha̍k-hāu,Tâi-uân Kíng-tshat Tsuan-kho Ha̍k-hāu
興華國小,,興華國小,Heng-hôa Kok-sió,Hìng-huâ Kok-sió
萬芳高中,,萬芳高中,Bān-hong Ko-tiong,Bān-hong Ko-tiong
古亭國中,,,Kóo-tîng-kok-tiong,
義方國小,,,Gī-hn̄g-kok-sió,
新店高中,,,Sin-tiàm-ko-tiong,
雙溪公園,,雙溪公園,Siang-khoe Kong-hn̂g,Siang-khue-kong-hn̂g
新生國小,,新生國小,Sin-seng Kok-sió,Sin-sing Kok-sió
金華國中,,金華國中,Kim-hôa Kok-tiong,Kim-huâ Kok-tiong
龍門國中,,龍門國中,Liông-mn̂g Kok-tiong,Liông-mn̂g Kok-tiong
北安國中,,北安國中,Pak-an Kok-tiong,Pak-an Kok-tiong
大直高中,,大直高中,Tōa-ti̍t Ko-tiong,Tuā-tit Ko-tiong
銘傳大學台北校區,,銘傳大學台北校區,Bêng-thoân Tāi-ha̍k Tâi-pak Hāu-khu,Bîng-thuân-tāi-ha̍k Tâi-pak Hāu-khu
陽明交大陽明校區,,陽明交大陽明校區,Iông-bêng Kau-tāi Iông-bêng Hāu-khu,Iông-bîng Kau-tāi Iông-bîng Hāu-khu
中山國小,,中山國小,Tiong-san Kok-sió,Tiong-san Kok-sió
國立台灣藝術大學,,國立臺灣藝術大學,Kok-li̍p Tâi-oân Gē-su̍t Tāi-ha̍k,Kok-li̍p Tâi-uân Gē-su̍t Tāi-ha̍k
