name,name:nan-HJ,name:nan-TL,name:nan-POJ,name:nan-HJ || name,name:nan-TL | name:nan-POJ,name:nan-HJ || name（name:nan-TL | name:nan-POJ）,Include numbers or ()
140高地公園,,,140-ko-tē-kong-hn̂g,140高地公園,140-ko-tē-kong-hn̂g,140高地公園（140-ko-tē-kong-hn̂g）,TRUE
一女中,一女中,It-lú-tiong,It-lú-tiong,一女中,It-lú-tiong,一女中（It-lú-tiong）,FALSE
一重橋,,,It-têng-kiô,一重橋,It-têng-kiô,一重橋（It-têng-kiô）,FALSE
一壽橋,一壽橋,It-siū-kiô,It-siū-kiô,一壽橋,It-siū-kiô,一壽橋（It-siū-kiô）,FALSE
一鄰前,一鄰前,I̍t-lîn-tsîng,It-lîn-chêng,一鄰前,I̍t-lîn-tsîng | It-lîn-chêng,一鄰前（I̍t-lîn-tsîng | It-lîn-chêng）,FALSE
七十二階,七十二坎,Tshit-tsa̍p-jī-khám,Chhit-cha̍p-jī-khám,七十二坎,Tshit-tsa̍p-jī-khám | Chhit-cha̍p-jī-khám,七十二坎（Tshit-tsa̍p-jī-khám | Chhit-cha̍p-jī-khám）,FALSE
七股區,,,Chhit-kó͘-khu,七股區,Chhit-kó͘-khu,七股區（Chhit-kó͘-khu）,FALSE
七星橋,,,Chhit-chhiⁿ-kiô,七星橋,Chhit-chhiⁿ-kiô,七星橋（Chhit-chhiⁿ-kiô）,FALSE
七美國小,,Tshit-bí-kok-sió,Chhit-bí-kok-sió,七美國小,Tshit-bí-kok-sió | Chhit-bí-kok-sió,七美國小（Tshit-bí-kok-sió | Chhit-bí-kok-sió）,FALSE
七美國中,,Tshit-bí-kok-tiong,Chhit-bí-kok-tiong,七美國中,Tshit-bí-kok-tiong | Chhit-bí-kok-tiong,七美國中（Tshit-bí-kok-tiong | Chhit-bí-kok-tiong）,FALSE
七美鄉,,,Chhit-bí-hiong,七美鄉,Chhit-bí-hiong,七美鄉（Chhit-bí-hiong）,FALSE
七堵,七堵,Tshit-tóo,Chhit-tó͘,七堵,Tshit-tóo | Chhit-tó͘,七堵（Tshit-tóo | Chhit-tó͘）,FALSE
七堵區,,,Chhit-tó͘-khu,七堵區,Chhit-tó͘-khu,七堵區（Chhit-tó͘-khu）,FALSE
七張,七張,Tshit-tiunn,Chhit-tiuⁿ,七張,Tshit-tiunn | Chhit-tiuⁿ,七張（Tshit-tiunn | Chhit-tiuⁿ）,FALSE
九甲,九甲,Káu-kah,Káu-kah,九甲,Káu-kah,九甲（Káu-kah）,FALSE
九甲三,,Káu-kah-sann,Káu-kah-sann,九甲三,Káu-kah-sann,九甲三（Káu-kah-sann）,FALSE
九甲六,九甲六,Káu-kah-la̍k,Káu-kah-la̍k,九甲六,Káu-kah-la̍k,九甲六（Káu-kah-la̍k）,FALSE
九份,,,Káu-hūn,九份,Káu-hūn,九份（Káu-hūn）,FALSE
九如鄉,,,Kiú-jû-hiong,九如鄉,Kiú-jû-hiong,九如鄉（Kiú-jû-hiong）,FALSE
九曲堂,九曲堂,Kiú-khiok-tông,Kiú-khiok-tông,九曲堂,Kiú-khiok-tông,九曲堂（Kiú-khiok-tông）,FALSE
九汴頭,九汴頭,Káu-piān-thâu,Káu-piān-thâu,九汴頭,Káu-piān-thâu,九汴頭（Káu-piān-thâu）,FALSE
九芎腳,九芎跤,Káu-kiong-kha,Káu-kiong-kha,九芎跤,Káu-kiong-kha,九芎跤（Káu-kiong-kha）,FALSE
,九張犁,Káu-tiunn-lê,,九張犁,Káu-tiunn-lê,九張犁（Káu-tiunn-lê）,FALSE
九間仔,九間仔,Káu-king-á,Káu-keng-á,九間仔,Káu-king-á | Káu-keng-á,九間仔（Káu-king-á | Káu-keng-á）,FALSE
,九德,Kiú-tik,,九德,Kiú-tik,九德（Kiú-tik）,FALSE
九鬮,九鬮,Káu-khau,Káu-khau,九鬮,Káu-khau,九鬮（Káu-khau）,FALSE
二二八和平公園,二二八和平公園,Jī-jī-pat Hô-pîng Kong-hn̂g,Jī-jī-pat Hô-pêng Kong-hn̂g,二二八和平公園,Jī-jī-pat Hô-pîng Kong-hn̂g | Jī-jī-pat Hô-pêng Kong-hn̂g,二二八和平公園（Jī-jī-pat Hô-pîng Kong-hn̂g | Jī-jī-pat Hô-pêng Kong-hn̂g）,FALSE
二八張,二八張,Jī-peh-tiunn,Jī-peh-tiuⁿ,二八張,Jī-peh-tiunn | Jī-peh-tiuⁿ,二八張（Jī-peh-tiunn | Jī-peh-tiuⁿ）,FALSE
二十六份,二十六份,Jī-tsa̍p-la̍k-hūn,Jī-cha̍p-la̍k-hūn,二十六份,Jī-tsa̍p-la̍k-hūn | Jī-cha̍p-la̍k-hūn,二十六份（Jī-tsa̍p-la̍k-hūn | Jī-cha̍p-la̍k-hūn）,FALSE
二十張,二十張,Lī-tsa̍p-tiunn,Lī-cha̍p-tiuⁿ,二十張,Lī-tsa̍p-tiunn | Lī-cha̍p-tiuⁿ,二十張（Lī-tsa̍p-tiunn | Lī-cha̍p-tiuⁿ）,FALSE
二仁溪,二仁溪,Jī-jîn-khe,Jī-jîn-khe,二仁溪,Jī-jîn-khe,二仁溪（Jī-jîn-khe）,FALSE
